Data Broker Name,Email Address (Accessible to the public),Website URL,Privacy policy URL,Opt out URL,Physical Address,How a consumer may opt out of sale or submit requests under the CCPA,How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1),Additional information about data collecting practices,Date Added to California AG list ( https://oag.ca.gov/data-brokers ),Kanary,Vermont ID,stopdatamining.me,Criteo data partner,Excessive opt-out,Notes
Compact Information Systems,privacy.compliance [at] compactlists.com,https://www.compactlists.com/,,,"7120 185TH AVE NEREDMOND, WA 98052United States","Consumers can submit CCPA requests through our link at http://privacy.compactlists.com/request/opt-out, by emailing privacy.compliance@compactlists.com or by visiting www.CompactLists.com and reviewing our Privacy Policy.","Consumers can submit CCPA requests through our link at http://privacy.compactlists.com/request/opt-out, by emailing privacy.compliance@compactlists.com or by visiting www.CompactLists.com and reviewing our Privacy Policy.",Consumers can visit www.CompactLists.com and review our Privacy Policy as well as our Consumer Information link.,02/07/2020,,353084,,,,COMPACT INFORMATION SYSTEMS
Complete Mailing Lists,ewoolf [at] CompleteMailingLists.com,http://www.CompleteMailingLists.com,,,"190 East Post Rd2nd FloorWhite Plains, NY 10601United States",Website form and/or toll-free number,Website form and/or toll-free number,Compile and aggregate via publicly available data,02/07/2020,,,,,,
"Complete Medical Lists, Inc.",tburnell [at] completemedicallists.com,http://www.completemedicallists.com/,,,"758 Main StFranconia, NH 03580United States","In compliance with the California Consumer Privacy Act (""CCPA""), Cal. Civil Code Div. 3, Part 4 1798.100 et seq. made effective January 1, 2020, California residents can submit the form below to request information on if their name and address appears in our database, or to have their information removed from our database.

The information in this form is being collected for the sole purpose of locating your record in our database so it can be removed and will not be stored, rented, or shared. If your record is found in our database, it will be deleted within 30 days of receipt of this form.

If you prefer to call in your information, you can call toll free: 877-463-3232.

http://www.completemedicallists.com/ccpa.php","In compliance with the California Consumer Privacy Act (""CCPA""), Cal. Civil Code Div. 3, Part 4 1798.100 et seq. made effective January 1, 2020, California residents can submit the form below to request information on if their name and address appears in our database, or to have their information removed from our database.

The information in this form is being collected for the sole purpose of locating your record in our database so it can be removed and will not be stored, rented, or shared. If your record is found in our database, it will be deleted within 30 days of receipt of this form.

If you prefer to call in your information, you can call toll free: 877-463-3232.

http://www.completemedicallists.com/ccpa.php",Compile and aggregate publicly available data,02/12/2020,,,,,,
Compliance Data Center LLC,usprivacy [at] equifax.com,https://www.equifax.com/personal/,,,"1550 Peachtree Street, N.W.Atlanta, GA 30309United States",Through a link on our website,We do not post personal information online so this is not applicable.,Please visit https://www.equifax.com/privacy/privacy-statement/ to review our Privacy Statement for more information.,02/27/2020,,,,,,
"Comscore, Inc.",privacy [at] comscore.com,https://www.comscore.com,,,"11950 Democracy DriveReston, VA 20024United States","To opt out of a sale or submit other requests under the CCPA, consumers can visit http://www.comscore.com/About/Privacy/Data-Subject-Rights and submit a request through the applicable online form. For other questions, consumers can send an email to DSR@comscore.com. If necessary, Comscore may request additional information to verify a consumer’s identity and complete the request.","Comscore is not in the business of publicly posting personal information. Any individual can submit a deletion request at http://www.comscore.com/About/Privacy/Data-Subject-Rights through the applicable online form or by sending an email to DSR@comscore.com. If necessary, Comscore may request additional information to verify an individual’s identity and complete the request.","Comscore is a recognized global leader in cross-platform measurement of audiences, advertising, and consumer behavior. For more information about Comscore’s practices, please see Comscore’s corporate privacy policy at https://www.comscore.com/About/Privacy-Policy or the privacy policy for the Comscore program in which the consumer participates.",01/30/2020,,,,,,
"Confi-Chek, Inc., and its subsidiaries and affiliates",customercare [at] peoplefinders.com,http://www.peoplefinders.com,,,"1821 Q Streetsacramento, CA 95811United States",A consumer may exercise their right to opt out through the “Do Not Sell My Personal Information” or “Do Not Sell My Info” link in the footer of the website. A consumer may also submit other CCPA-related requests by clicking on the links found in Section V (Your Rights) of our Privacy Policy (found at https://www.peoplefinders.com/about/privacy.),A consumer may opt out of having their listing displayed by going online to https://www.peoplefinders.com/opt-out and submitting a request. A consumer may also contact Customer Care or mail in their request at the business address.,Additional information may be found in our Privacy Policy at https://www.peoplefinders.com/about/privacy.,03/05/2020,,352646,,,,Confi-Chek
Connected Investors,support [at] connectedinvestors.com,http://www.connectedinvestors.com,,,"254 North Front StreetSuite 100Wilmington, NC 28401United States","Connected Investors has added a ""Do Not Sell My Information"" button at the bottom of the homepage at https://connectedinvestors.com/.
Additionally, a consumer may contact Customer Support via one of the methods below to initiate an opt-out of sale or right to know/delete request:
email - Support@connectedinvestors.com
chat - on https://connectedinvestors.com/
phone - (888)204-7501 x144 (CCPA Support)","Connected Investors has implemented a process to enable a consumer to demand deletion of their personal information that can be initiated via a web portal accessible at https://connectedinvestors.com/consumer-protection. A consumer may also contact Customer Support via the methods below to initiate a right to delete request. 
email - Support@connectedinvestors.com
chat - on https://connectedinvestors.com/
phone - (888)204-7501 x144 (CCPA Support)",For additional information about Connected Investors data collection and privacy practices visit our website Privacy Policy at https://connectedinvestors.com/content/privacy-policy.,02/12/2020,,,,,,
Consumerbase LLC/DBA Exact Data,rob.sullivan [at] exactdata.com,http://www.exactdata.com,,,"33 N. Dearborn DriveSuite 200Chicago, IL 60602United States",Through a link on our website as well as at our compliance website Alerts.com.,Through a link on our website as well as at our compliance website Alerts.com.,,01/14/2020,,367366,,,,Consumerbase LLC DBA Exact Data
CoreLogic,,corelogic.com,,,,,,,,,,,,,
CoreLogic Credco of Puerto Rico,,www.corelogic.com,,,"10277 Scripps Ranch Blvd, San Diego, CA, 92131, USA",,,,,,352850,,,,
"CoreLogic Credco, LLC",,www.corelogic.com,,,"10277 Scripps Ranch Blvd, San Diego, CA, 92131, USA",,,,,,352848,,,,
"CoreLogic Solutions, LLC",,www.corelogic.com,,,"40 Pacifica, Ste 900, Irvine, CA, 92618, USA",,,,,,352840,,,,
"Cortera, Inc.",privacy [at] cortera.com,http://www.cortera.com,,,"901 Yamato RoadSuite 210EBoca Raton, FL 33431United States",California residents may opt out of the sale of personal information as contained in the business information we collect by submitting a request by telephone or by email. Our telephone number is 1-866-589-0664. Our email address is privacy@cortera.com. Additional information and instructions on how a California resident may exercise their rights under CCPA can be found in our Privacy Policy located at https://www.cortera.com/privacy-policy.,"Consumers and/or elected or appointed officials covered under Gov. Code sections 6208.1(b) or 6254.21(c)(1) may opt out of the sale of personal information as contained in the business information we collect by submitting a request by telephone. Our telephone number is 1-866-589-0664. Consumers and/or elected or appointed officials may also submit an email request to privacy@cortera.com or by direct mail. Our mailing address is: Cortera, Inc., Attn: Customer Service, 901 Yamato Road, Suite 210E, Boca Raton, FL 33431.","Cortera focuses on collecting information about businesses. On occasion, as a byproduct of collecting information about businesses, Cortera occasionally receives information about consumers' businesses or professions that is not from federal, state, or local government databases or information that is unrelated to consumers' businesses or professions.",01/30/2020,,367446,,,,"Cortera, Inc."
Cox Target Media (Valpak),,,,http://www.coxtarget.com/mailsuppression/s/DisplayMailSuppressionForm,,Fill out online form.,,,,,,14 Apr 2020,,,
Crunchbase,privacy [at] crunchbase.com,http://www.crunchbase.com,,,"564 MARKET ST C/O CRUNCHBASE STE 700San Francisco, CA 94104-5415United States",They can do so via https://about.crunchbase.com/terms-of-service/privacy-policy/,They can do so via https://about.crunchbase.com/terms-of-service/privacy-policy/,,01/31/2020,,,,,,
Cyndx Networks LLC,privacy [at] cyndx.com,https://www.cyndx.com,,,"757 3rd Ave.Suite 1502New York, NY 10017United States",A California consumer may opt out of sale or submit requests under the CCPA by filling out a privacy request form at https://www.cyndx.com/California-Do-Not-Track/ or by calling (877) 237-4418.,"The Cyndx platform provides only business-related contact information not covered by Gov. Code sections 6208.1(b) or 6254.21(c)(1) and does not make such business-related contact information available to the general public. However, a protected individual can submit a request by filling out a privacy request form at https://www.cyndx.com/California-Do-Not-Track/ or by calling (877) 237-4418.",,02/07/2020,,,,,,
Data Exchange,,www.data.exchange,,,"7901 4th SE N, Suite 300, St Petersburg, FL, 33702, USA",,,,,,362927,,,,
"Data Facts, Inc.",,datafacts.com,,,"8000 Centerview Pkwy, Suite 400, Cordova, TN, 38018, USA",,,,,,366982,,,,
DatabaseUSA,Privacy [at] databaseusa.com,https://databaseusa.com/,,,"11211 John Galt BlvdOmaha, NE 68137United States",Please go to https://ccpa-optout.com/ to begin the process.,Please go to https://ccpa-optout.com/ to begin the process.,"Our Consumer Database is compiled from public and self-reported data sources to be used for Business to Consumer marketing purposes. DatabaseUSA does NOT compile or possess any of the following sensitive personal information: Driver’s License Information, Passport/Visa Numbers, State ID Information, Student Information, Social Security Numbers, Sexual Orientation Preferences, Credit/Debit Card Numbers, Private Medical/Health Records, Bank Account Numbers, Salary/Payroll/Benefit Data, PIN Numbers, Frequent Flyer Numbers, Exact FICO Scores/Credit Rating, Medical Insurance Information, Personal Account Numbers, Logon ID’s and Passwords, Biometric Data (Fingerprints, Facial Recognition, DNA, Retina Patterns, Blood Types or Signatures).",03/09/2020,,357083,,,,DatabaseUSA.com LLC
"Dataline, Inc.",privacy.officer [at] datalinedata.com,http://www.datalinedata.com,,,"506 Carnegie Center DriveSuite 105Princeton, NJ 08540United States","We invite California consumers to the Dataline website at www.datalinedata.com in order to opt out of the sale of their data and/or to submit requests under CCPA. Consumers should click on the button indicating ""Do Not Sell My Information"" and complete the CCPA request form. Consumers should verify their request after completing the form by calling (888) 990-3399 and giving the code received from the Privacy Portal.","We invite California consumers to the Dataline website at www.datalinedata.com in order to delete their information under CCPA. Consumers should click on the button indicating ""Do Not Sell My Information"" and complete the CCPA request form. Consumers should verify their request after completing the form by calling (888) 990-3399 and giving the code received from the Privacy Portal.",We welcome California consumers to visit our Privacy Policy at www.datalinedata.com,02/27/2020,,,,,,
